"routeid","vehicleid","t1","lon1","lat1","t2","lon2","lat2","bear","tdiff","p_index1","p_index2","bear","p_lon1","p_lat1","p_lon2","p_lat2","dist","speed"
1054553,39186,2017-07-22 03:52:14,24.0351466,49.8420166,2017-07-22 03:53:13,24.032965,49.8444666,330.134939856877,59,331,343,328.393350415856,24.0352311655,49.8421120758,24.0329995676,49.8444506361,0.332403125725147,20.2822246205174
1054553,39186,2017-07-22 03:53:13,24.032965,49.8444666,2017-07-22 03:54:13,24.0288716,49.8445366,271.520594504578,60,344,353,277.145722896512,24.0329995676,49.8444506361,24.0288773718,49.8447838189,0.298815574716093,17.9289344829656
1054553,39186,2017-07-22 04:07:13,23.994775,49.8395083,2017-07-22 04:08:14,23.9945466,49.8385766,188.984299604379,61,470,474,180.663631983483,23.9946654363,49.8394654916,23.9946493431,49.8385694258,0.130425884073156,7.69726528956331
1054553,39186,2017-07-22 04:08:14,23.9945466,49.8385766,2017-07-22 04:09:13,23.9951716,49.8387566,65.9365284767374,59,475,476,65.9378398459893,23.9946493431,49.8385694258,23.99545,49.8388,0.0629530972207456,3.84120593211329
1054553,39186,2017-07-22 04:17:13,23.9951716,49.8387566,2017-07-22 04:19:13,23.9988816,49.8379233,109.199774803046,120,476,483,105.04058712791,23.99504967155,49.8386847129,23.998783968225,49.8380374854,0.310461088650521,9.31383265951562
1054553,39186,2017-07-22 04:19:13,23.9988816,49.8379233,2017-07-22 04:20:15,24.0027,49.8366733,116.909504455753,62,484,498,117.745070487144,23.998783968225,49.8380374854,24.0025781907,49.836750184,0.326196616472009,18.9404486983747
1054553,39186,2017-07-22 04:20:15,24.0027,49.8366733,2017-07-22 04:21:13,24.008265,49.838665,60.9711760141476,58,499,512,62.4650386260912,24.0025781907,49.836750184,24.0080816953,49.8386005323,0.447871149436427,27.7988989305369
1054553,39186,2017-07-22 04:21:13,24.008265,49.838665,2017-07-22 04:22:13,24.014665,49.8412716,57.7244268810353,60,526,529,56.3643265477702,24.0129128796,49.8404325851,24.01472269435,49.84120908105,0.156416736076486,9.38500416458914
1054553,39186,2017-07-22 04:22:13,24.014665,49.8412716,2017-07-22 04:23:13,24.0151333,49.841615,41.3303892713554,60,526,531,57.0007648069779,24.0129128796,49.8404325851,24.0153032395,49.8414336291,0.205001856327635,12.3001113796581
1054553,39186,2017-07-22 04:23:13,24.0151333,49.841615,2017-07-22 04:24:15,24.0219866,49.8432516,69.6776950843592,62,533,551,70.2517952789204,24.0158602519,49.8416569053,24.0220265427,49.8430843238,0.479648372390281,27.8505506549195
1054553,39186,2017-07-22 04:34:13,24.0336266,49.83048,2017-07-22 04:35:13,24.0337933,49.8275116,177.925244926212,60,654,659,164.769658015084,24.0333461228,49.8288939855,24.0339060344,49.8275673485,0.187564641519425,11.2538784911655
1054553,39186,2017-07-22 04:35:13,24.0337933,49.8275116,2017-07-22 04:36:13,24.0333183,49.8235699,184.445456526652,60,663,672,183.534469577428,24.0337183996,49.8266854684,24.033437183575,49.823748212425,0.328877964691426,19.7326778814856
1054553,39186,2017-07-22 04:36:13,24.0333183,49.8235699,2017-07-22 04:37:13,24.03023,49.8219366,230.657899590338,60,686,688,255.265020808838,24.0315308069,49.82213133975,24.0302422567,49.8219126952,0.0956322675209488,5.73793605125693
1054553,39186,2017-07-22 04:37:13,24.03023,49.8219366,2017-07-22 04:38:14,24.0247533,49.8178716,221.00108178054,61,697,710,209.824739690677,24.0277665245,49.8207902585,24.0251997037,49.8179013022,0.377079618196571,22.2538791066829
1054553,39186,2017-07-22 04:38:14,24.0247533,49.8178716,2017-07-22 04:39:13,24.0299133,49.81574,122.626799319011,59,719,732,115.063908947246,24.0261545701,49.816875414,24.029974035775,49.81572278625,0.304820894603012,18.5992410266244
1054553,39186,2017-07-22 04:39:13,24.0299133,49.81574,2017-07-22 04:40:14,24.037835,49.8130883,117.415509692603,61,758,759,117.367101887118,24.0385192363,49.812749966275,24.0393577089,49.812469898825,0.0678209948641799,4.00255051657455
1054553,39186,2017-07-22 04:40:14,24.037835,49.8130883,2017-07-22 04:41:13,24.0423083,49.8115083,118.692744537091,59,755,766,118.404174306852,24.03777333505,49.81305939965,24.04227947465,49.8114867794,0.368522794706321,22.4861366261484
1054553,39186,2017-07-22 04:41:13,24.0423083,49.8115083,2017-07-22 04:42:14,24.0465483,49.8071316,147.985690185929,61,769,788,151.191071390678,24.04317962475,49.811156271,24.0465715452,49.8071758844,0.577433794531359,34.0780600051294
1054553,39186,2017-07-22 04:42:14,24.0465483,49.8071316,2017-07-22 04:43:13,24.0461233,49.8028416,183.658523379429,59,789,801,183.662817205905,24.0465715452,49.8071758844,24.0461316629,49.8027408708,0.495386407114696,30.226967213778
1054553,39186,2017-07-22 04:43:13,24.0461233,49.8028416,2017-07-22 04:44:14,24.0487033,49.798645,158.3553131161,61,802,817,156.568903655279,24.0461316629,49.8027408708,24.0489399357,49.7985582211,0.528878430768319,31.2124975535401
1054553,39186,2017-07-22 04:44:14,24.0487033,49.798645,2017-07-22 04:45:13,24.0541716,49.7958083,128.785106171859,59,818,832,129.134536337212,24.0489399357,49.7985582211,24.05409514145,49.7958503835,0.47878115265023,29.2137652464547
1054553,39186,2017-07-22 04:45:13,24.0541716,49.7958083,2017-07-22 04:46:14,24.058635,49.7910516,148.793300442093,61,841,854,161.221988747137,24.0569177814,49.7941874799,24.0586288785,49.7909385001,0.392904151652477,23.1877859991626
1054553,39186,2017-07-22 04:46:14,24.058635,49.7910516,2017-07-22 04:47:13,24.0586733,49.78875,179.384478090228,59,855,862,179.641364967825,24.0586288785,49.7909385001,24.05865,49.78876,0.244195508215719,14.9000649080778
