"lon","lat","routeid","rowid","dir"
23.9535364432754,49.8735935793887,1527114,"345",0
23.952919535202,49.8736938392213,1527114,"346",0
23.9525064750137,49.873749154902,1527114,"347",0
23.9519593043747,49.8737975560705,1527114,"348",0
23.9516555222454,49.8738868408834,1527114,"349",0
23.9516555222454,49.8738868408834,1527114,"350",0
23.9513906760635,49.8738494144116,1527114,"351",0
23.9505484624329,49.8739081871309,1527114,"352",0
23.9502426906052,49.8739531309267,1527114,"353",0
23.9500763936462,49.8739911602598,1527114,"354",0
23.9499369187775,49.8740533900129,1527114,"355",0
23.9498189015808,49.8741709348833,1527114,"356",0
23.9497974439087,49.8742988510349,1527114,"357",0
23.9497974439087,49.8744717101609,1527114,"358",0
23.9498135371628,49.874831255161,1527114,"359",0
23.9498296304169,49.8749453409958,1527114,"360",0
23.9498189015808,49.8750179409321,1527114,"361",0
23.9497759862366,49.8751251120672,1527114,"362",0
23.9487889333191,49.8769850119493,1527114,"363",0
23.9485636277618,49.8774240484963,1527114,"364",0
23.9484885259094,49.8776003533878,1527114,"365",0
23.9484348817291,49.8777317173983,1527114,"366",0
23.948413424057,49.877869994918,1527114,"367",0
23.9483866019669,49.8780324704976,1527114,"368",0
23.9483758731308,49.8785510059248,1527114,"369",0
23.9483705087128,49.8787307635731,1527114,"370",0
23.9483222289505,49.8788794088152,1527114,"371",0
23.9482632203522,49.878983114527,1527114,"372",0
23.9481452031555,49.879152500044,1527114,"373",0
23.9474370999756,49.8801791709713,1527114,"374",0
23.947324447197,49.8804660818393,1527114,"375",0
23.9472761674347,49.8806389188887,1527114,"376",0
23.9472547097626,49.8808808897184,1527114,"377",0
23.9472493453445,49.8810537252828,1527114,"378",0
23.9472654385986,49.8812265602285,1527114,"379",0
23.9472922606888,49.8814270479904,1527114,"380",0
23.947335176033,49.8816137082617,1527114,"381",0
23.9473941846313,49.8817796278969,1527114,"382",0
23.9474907441559,49.8819075238933,1527114,"383",0
23.9476248546066,49.8820492460881,1527114,"384",0
23.9477375073852,49.8821252919724,1527114,"385",0
23.9484938903274,49.8826403268537,1527114,"386",0
23.9485797210159,49.8827094586343,1527114,"387",0
23.9486387296143,49.8827889600596,1527114,"388",0
23.9487513823929,49.8829375928078,1527114,"389",0
23.9495453162613,49.8839918352136,1527114,"390",0
23.9505645556869,49.8853260237448,1527114,"391",0
23.9515891595306,49.8866947384262,1527114,"392",0
23.951653532547,49.8868952034798,1527114,"393",0
23.9516803546371,49.8870852988823,1527114,"394",0
23.951658896965,49.8872684810163,1527114,"395",0
23.9515784306946,49.8874793124233,1527114,"396",0
23.9514872355881,49.8876106495556,1527114,"397",0
23.951294116539,49.8878145670266,1527114,"398",0
23.9507040305557,49.8883226288426,1527114,"399",0
23.9505591912689,49.8884643322049,1527114,"400",0
23.9504519029083,49.8886129474794,1527114,"401",0
23.9503553433838,49.8887650184493,1527114,"402",0
23.9502641482773,49.8889827555949,1527114,"403",0
23.949856452507,49.8898225896697,1527114,"404",0
23.9491805358353,49.8914814782332,1527114,"405",0
23.9490893407288,49.8917061150095,1527114,"406",0
23.94894986586,49.8919272948137,1527114,"407",0
23.9486923737946,49.8922659744246,1527114,"408",0
23.9479198975983,49.8933269247594,1527114,"409",0
23.9477911515655,49.8934962599508,1527114,"410",0
23.9476409478607,49.8936344923196,1527114,"411",0
23.9474370999756,49.8938176495984,1527114,"412",0
23.9464661403122,49.8946781339242,1527114,"413",0
23.9463642163696,49.8947956285854,1527114,"414",0
23.94606,49.89507,1527114,"415",0
23.94606,49.89507,1527114,"416",0
23.9458438678207,49.8952068576465,1527114,"417",0
23.9454039855423,49.8956146275409,1527114,"418",0
23.9450606627884,49.8959360030805,1527114,"419",0
23.9447763486328,49.8962400983944,1527114,"420",0
23.9446583314362,49.8964405238036,1527114,"421",0
23.9428558869781,49.8998579944672,1527114,"422",0
23.942104868454,49.9012677601723,1527114,"423",0
23.941568426651,49.9019104338088,1527114,"424",0
23.9414128585281,49.9020175452492,1527114,"425",0
23.9413538499298,49.9021246564518,1527114,"426",0
23.9413538499298,49.9023734299403,1527114,"427",0
23.9412251038971,49.902649843423,1527114,"428",0
23.9409783406677,49.9028986142033,1527114,"429",0
23.940302423996,49.9034168825421,1527114,"430",0
23.9399698300781,49.9036518290215,1527114,"431",0
23.93984,49.90366,1527114,"432",1
23.93984,49.90366,1527114,"433",1
23.9391629379912,49.9043315888608,1527114,"434",1
23.9387445133849,49.9046529063421,1527114,"435",1
23.938234893672,49.9050571414238,1527114,"436",1
23.9379076641722,49.9052817150054,1527114,"437",1
23.9376287144347,49.905451008245,1527114,"438",1
23.9371834677382,49.9057239491558,1527114,"439",1
23.936974255435,49.9058275971983,1527114,"440",1
23.9363841694517,49.9061143556223,1527114,"441",1
23.9358423632307,49.9063561987511,1527114,"442",1
23.9352790993376,49.9065185784572,1527114,"443",1
23.9345119875594,49.9067085965681,1527114,"444",1
23.9328168314619,49.9070368079057,1527114,"445",1
23.9324359577818,49.9071093595842,1527114,"446",1
23.9320658129378,49.9072613722709,1527114,"447",1
23.9319477957411,49.9073684718308,1527114,"448",1
23.9318190497084,49.9075273933201,1527114,"449",1
23.9315937441511,49.9078106868502,1527114,"450",1
23.9312611502333,49.9083979974049,1527114,"451",1
23.9309178274794,49.9089092972413,1527114,"452",1
23.9303921145125,49.9096140529962,1527114,"453",1
23.9298020285292,49.9102773431233,1527114,"454",1
23.9291368406935,49.9109129876021,1527114,"455",1
23.9287935179396,49.9112377157874,1527114,"456",1
23.9284287375136,49.9115037149059,1527114,"457",1
23.927956668727,49.9117558945337,1527114,"458",1
23.9275489729567,49.911970073456,1527114,"459",1
23.9271359127684,49.9122878855877,1527114,"460",1
23.9267496746703,49.9126609667222,1527114,"461",1
23.9256875199004,49.9135245693863,1527114,"462",1
23.9248380661011,49.9142449771763,1527114,"463",1
23.9243928194046,49.9145869544478,1527114,"464",1
23.9240494966507,49.914801120797,1527114,"465",1
23.9236686229706,49.9149876520036,1527114,"466",1
23.9231858253479,49.915170728227,1527114,"467",1
23.9228103160858,49.9152605389503,1527114,"468",1
23.9223918914795,49.9153261697578,1527114,"469",1
23.921941280365,49.9153572580038,1527114,"470",1
23.9200047254563,49.9154228886796,1527114,"471",1
23.918695807457,49.9154505226217,1527114,"472",1
23.9182505607605,49.9154781565479,1527114,"473",1
23.9178267717362,49.9155230616442,1527114,"474",1
23.9173815250397,49.9156163259414,1527114,"475",1
23.916887998581,49.9157717660358,1527114,"476",1
23.9165822267533,49.9159272056292,1527114,"477",1
23.9162496328354,49.9160826447215,1527114,"478",1
23.9159384965897,49.9162346291273,1527114,"479",1
23.9155308008194,49.916410792271,1527114,"480",1
23.9152303934097,49.9165247798445,1527114,"481",1
23.9146724939346,49.9167216668368,1527114,"482",1
23.914018034935,49.9169289154339,1527114,"483",1
23.9136908054352,49.9170394476548,1527114,"484",1
23.913476228714,49.9171879749277,1527114,"485",1
23.913476228714,49.9171879749277,1527114,"486",1
23.9136908054352,49.9170394476548,1527114,"487",1
23.914018034935,49.9169289154339,1527114,"488",1
23.9146724939346,49.9167216668368,1527114,"489",1
23.9152303934097,49.9165247798445,1527114,"490",1
23.9155308008194,49.916410792271,1527114,"491",1
23.9159384965897,49.9162346291273,1527114,"492",1
23.9162496328354,49.9160826447215,1527114,"493",1
23.9165822267533,49.9159272056292,1527114,"494",1
23.916887998581,49.9157717660358,1527114,"495",1
23.9173815250397,49.9156163259414,1527114,"496",1
23.9178267717362,49.9155230616442,1527114,"497",1
23.9182505607605,49.9154781565479,1527114,"498",1
23.918695807457,49.9154505226217,1527114,"499",1
23.9200047254563,49.9154228886796,1527114,"500",1
23.921941280365,49.9153572580038,1527114,"501",1
23.9223918914795,49.9153261697578,1527114,"502",1
23.9228103160858,49.9152605389503,1527114,"503",1
23.9231858253479,49.915170728227,1527114,"504",1
23.9236686229706,49.9149876520036,1527114,"505",1
23.9240494966507,49.914801120797,1527114,"506",1
23.9243928194046,49.9145869544478,1527114,"507",1
23.9248380661011,49.9142449771763,1527114,"508",1
23.9256875199004,49.9135245693863,1527114,"509",1
23.9267496746703,49.9126609667222,1527114,"510",1
23.9271359127684,49.9122878855877,1527114,"511",1
23.9275489729567,49.911970073456,1527114,"512",1
23.927956668727,49.9117558945337,1527114,"513",1
